,Date,Adj Close,Close,High,Low,Open,Volume,Year,Month,Day,Close_MA30,Close_MA60,Volatility_30
0,2020-01-02,68.18682098,68.43399811,68.43399811,67.32450104,67.42050171,27278000,2020,1,2,68.43399811,68.43399811,
1,2020-01-03,67.83010101,68.0759964,68.6875,67.36599731,67.40000153,23408000,2020,1,3,68.254997255,68.254997255,
2,2020-01-06,69.63805389,69.89050293,69.91600037,67.55000305,67.58149719,46768000,2020,1,6,68.80016581333332,68.80016581333332,
3,2020-01-07,69.50354767,69.75550079,70.17500305,69.57800293,70.02300262,34330000,2020,1,7,69.0389995575,69.0389995575,
4,2020-01-08,69.99825287,70.2519989,70.59249878,69.63150024,69.74099731,35314000,2020,1,8,69.281599426,69.281599426,
5,2020-01-09,70.73309326,70.98950195,71.43399811,70.51049805,71.09649658,33200000,2020,1,9,69.56624984666666,69.56624984666666,
6,2020-01-10,71.18992615,71.44799805,71.74700165,70.98000336,71.47350311,26258000,2020,1,10,69.83507101857143,69.83507101857143,
7,2020-01-13,71.74143219,72.00150299,72.0739975,71.26850128,71.76249695,30730000,2020,1,13,70.105875015,70.105875015,
8,2020-01-14,71.27114105,71.52950287,72.13150024,71.3884964,72.0,26076000,2020,1,14,70.26405588777779,70.26405588777779,
9,2020-01-15,71.70008087,71.95999908,72.03900146,71.58300018,71.65100098,21550000,2020,1,15,70.433650207,70.433650207,
10,2020-01-16,72.24610138,72.50800323,72.53500366,72.0,72.27249908,26080000,2020,1,16,70.62222775454546,70.62222775454546,
11,2020-01-17,73.70879364,73.97599792,74.02749634,72.82749939,73.1269989,52424000,2020,1,17,70.90170860166667,70.90170860166667,
12,2020-01-21,73.84481812,74.11250305,74.4940033,73.51049805,73.94999695,48930000,2020,1,21,71.14869279,71.14869279,
13,2020-01-22,73.92550659,74.1934967,75.02899933,74.13300323,74.4865036,28458000,2020,1,22,71.36617878357143,71.36617878357143,
14,2020-01-23,73.966362,74.23449707,74.67500305,74.01599884,74.37750244,26650000,2020,1,23,71.55740000266665,71.55740000266665,
15,2020-01-24,73.0437088,73.3085022,74.70999908,73.15899658,74.64099884,29786000,2020,1,24,71.66684389,71.66684389,
16,2020-01-27,71.32793427,71.58650208,71.82900238,70.97499847,71.57700348,34132000,2020,1,27,71.66211790117647,71.66211790117647,
17,2020-01-28,72.26303864,72.52500153,72.73999786,71.51799774,72.08699799,29724000,2020,1,28,71.71005588055556,71.71005588055556,
18,2020-01-29,72.57191467,72.83499908,73.20700073,72.26950073,72.92299652,21566000,2020,1,29,71.76926341736842,71.76926341736842,
